sex,agegr,edu,socprof,marital,depress,trust,trustfam,trustneigh,income,weight
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,1,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1448,74
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,WIDOWED,7,ONE CAN`T BE TOO CAREFUL,YES,NO,2400,75
FEMALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1200,58
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,15000,74
FEMALE,65+,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,WIDOWED,NA,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,65
MALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,IT`S DIFFICULT TO TELL,YES,YES,3500,80
MALE,45-59,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,SINGLE,8,ONE CAN`T BE TOO CAREFUL,YES,YES,560,80
MALE,35-44,VOCATIONAL/GRAMMAR,FARMER,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,300,104
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,-8,54
FEMALE,25-34,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,NA,80
FEMALE,45-59,SECONDARY,FARMER,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,NO,1700,88
MALE,60-64,PRIMARY/NO EDUCATION,LONG-TERM SICK/DISABLED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,750,70
FEMALE,25-34,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,1300,95
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,WIDOWED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,900,86
MALE,45-59,PRIMARY/NO EDUCATION,EMPLOYED IN PRIVATE SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,70
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,83
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO,800,58
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,800,50
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,73
FEMALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,6,MOST PEOPLE CAN BE TRUSTED,YES,YES,520,80
MALE,16-24,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO,-8,76
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,11,ONE CAN`T BE TOO CAREFUL,NO,NO OPINION,7000,100
MALE,65+,SECONDARY,RETIRED,MARRIED,5,MOST PEOPLE CAN BE TRUSTED,YES,YES,1700,83
FEMALE,65+,SECONDARY,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,YES,1050,80
FEMALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,60
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,1500,80
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2000,80
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,5,MOST PEOPLE CAN BE TRUSTED,YES,YES,3000,77
MALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,NA,70
FEMALE,35-44,SECONDARY,FARMER,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO,1700,80
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2100,50
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1300,84
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,WIDOWED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,82
MALE,45-59,VOCATIONAL/GRAMMAR,FARMER,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO,2500,83
FEMALE,65+,SECONDARY,RETIRED,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,YES,800,62
FEMALE,35-44,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,70
FEMALE,25-34,SECONDARY,UNEMPLOYED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,500,70
FEMALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,NA,73
MALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1900,77
FEMALE,25-34,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,8,MOST PEOPLE CAN BE TRUSTED,YES,YES,NA,63
FEMALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,DIVORCED,3,IT`S DIFFICULT TO TELL,YES,NO,1500,96
FEMALE,16-24,POST-SECONDARY OR HIGHER,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,NO,1000,65
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,13,ONE CAN`T BE TOO CAREFUL,YES,NO,1500,50
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,SINGLE,2,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,80
FEMALE,45-59,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,8,ONE CAN`T BE TOO CAREFUL,YES,YES,1392,85
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,SINGLE,4,MOST PEOPLE CAN BE TRUSTED,YES,YES,1500,61
FEMALE,45-59,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,6,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2300,89
FEMALE,35-44,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,80
FEMALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,75
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1500,63
FEMALE,16-24,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,1000,54
MALE,16-24,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,3,IT`S DIFFICULT TO TELL,NO,NO,1800,80
MALE,45-59,VOCATIONAL/GRAMMAR,EMPLOYED IN PUBLIC SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1500,97
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,SINGLE,0,MOST PEOPLE CAN BE TRUSTED,YES,NO,1500,56
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,IT`S DIFFICULT TO TELL,YES,YES,NA,69
MALE,25-34,VOCATIONAL/GRAMMAR,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1076,80
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,3,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,80
FEMALE,25-34,POST-SECONDARY OR HIGHER,SELF-EMPLOYED,MARRIED,0,MOST PEOPLE CAN BE TRUSTED,YES,YES,8255,52
FEMALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,9,MOST PEOPLE CAN BE TRUSTED,YES,YES,1200,73
MALE,65+,POST-SECONDARY OR HIGHER,RETIRED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,3000,84
FEMALE,60-64,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,7,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,1000,78
FEMALE,45-59,SECONDARY,FARMER,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,800,53
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,WIDOWED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,1100,65
MALE,35-44,VOCATIONAL/GRAMMAR,FARMER,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,800,80
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,DE FACTO SEPARATED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,4200,60
MALE,35-44,VOCATIONAL/GRAMMAR,FARMER,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,600,86
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,SINGLE,1,IT`S DIFFICULT TO TELL,YES,NO OPINION,NA,67
FEMALE,45-59,SECONDARY,OTHER ECONOMICALLY INACTIVE,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,56
MALE,45-59,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,2,ONE CAN`T BE TOO CAREFUL,YES,YES,860,75
FEMALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2300,60
MALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,0,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,85
FEMALE,65+,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,WIDOWED,2,ONE CAN`T BE TOO CAREFUL,YES,NO,4200,72
MALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,YES,2000,70
MALE,35-44,VOCATIONAL/GRAMMAR,UNEMPLOYED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,600,96
FEMALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,14,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,660,62
MALE,45-59,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,NO,NO,-8,92
FEMALE,60-64,SECONDARY,RETIRED,MARRIED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1300,51
FEMALE,16-24,VOCATIONAL/GRAMMAR,PUPIL OR STUDENT,SINGLE,6,ONE CAN`T BE TOO CAREFUL,YES,YES,NA,55
FEMALE,45-59,VOCATIONAL/GRAMMAR,FARMER,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,77
FEMALE,65+,SECONDARY,RETIRED,WIDOWED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1480,58
FEMALE,35-44,VOCATIONAL/GRAMMAR,OTHER ECONOMICALLY INACTIVE,MARRIED,2,IT`S DIFFICULT TO TELL,YES,NO OPINION,NA,53
MALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,9,ONE CAN`T BE TOO CAREFUL,YES,NO,960,76
FEMALE,25-34,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,1400,53
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PUBLIC SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,80
FEMALE,16-24,SECONDARY,PUPIL OR STUDENT,SINGLE,11,IT`S DIFFICULT TO TELL,NO OPINION,NO OPINION,1200,50
MALE,60-64,SECONDARY,EMPLOYED IN PRIVATE SECTOR,MARRIED,0,ONE CAN`T BE TOO CAREFUL,YES,NO,3200,92
MALE,65+,VOCATIONAL/GRAMMAR,RETIRED,MARRIED,12,ONE CAN`T BE TOO CAREFUL,YES,YES,1200,72
FEMALE,45-59,PRIMARY/NO EDUCATION,FARMER,MARRIED,5,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,75
MALE,35-44,VOCATIONAL/GRAMMAR,LONG-TERM SICK/DISABLED,SINGLE,10,ONE CAN`T BE TOO CAREFUL,NO OPINION,NO OPINION,497,75
FEMALE,35-44,POST-SECONDARY OR HIGHER,UNEMPLOYED,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,56
MALE,35-44,POST-SECONDARY OR HIGHER,EMPLOYED IN PRIVATE SECTOR,MARRIED,3,ONE CAN`T BE TOO CAREFUL,YES,YES,-8,98
FEMALE,45-59,SECONDARY,LONG-TERM SICK/DISABLED,WIDOWED,16,ONE CAN`T BE TOO CAREFUL,YES,YES,690,93
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,10,ONE CAN`T BE TOO CAREFUL,YES,YES,1000,78
MALE,60-64,PRIMARY/NO EDUCATION,RETIRED,MARRIED,15,ONE CAN`T BE TOO CAREFUL,YES,YES,1900,115
FEMALE,65+,PRIMARY/NO EDUCATION,RETIRED,MARRIED,16,MOST PEOPLE CAN BE TRUSTED,YES,YES,1120,68
MALE,16-24,SECONDARY,EMPLOYED IN PRIVATE SECTOR,SINGLE,6,ONE CAN`T BE TOO CAREFUL,YES,YES,1800,85
FEMALE,45-59,SECONDARY,RETIRED,WIDOWED,13,IT`S DIFFICULT TO TELL,YES,YES,1700,65
MALE,45-59,VOCATIONAL/GRAMMAR,UNEMPLOYED,DIVORCED,1,ONE CAN`T BE TOO CAREFUL,YES,YES,1600,80
MALE,45-59,SECONDARY,EMPLOYED IN PUBLIC SECTOR,MARRIED,4,ONE CAN`T BE TOO CAREFUL,YES,NO OPINION,2500,100
