"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income","weight"
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100,98
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",2500,76
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,57
"FEMALE","16-24","PRIMARY/NO EDUCATION","UNEMPLOYED","SINGLE",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA,50
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,78
"MALE",NA,"VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1000,70
"MALE","25-34","SECONDARY","PUPIL OR STUDENT","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","NO",NA,80
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",660,84
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8,54
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",1000,65
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600,59
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",13,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",1300,62
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000,58
"FEMALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,48
"FEMALE","25-34","SECONDARY","SELF-EMPLOYED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000,50
"FEMALE","45-59","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",600,98
"MALE","45-59","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","NO","NO",1500,100
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900,90
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200,72
"FEMALE","35-44","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1500,63
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DIVORCED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000,70
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8,53
"FEMALE","45-59","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","WIDOWED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,80
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,72
"FEMALE","16-24","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",4,"IT`S DIFFICULT TO TELL","YES","NO OPINION",NA,53
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,54
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","YES",1100,94
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"IT`S DIFFICULT TO TELL","YES","NO OPINION",2200,58
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",900,58
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000,75
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",-8,84
"MALE","16-24","VOCATIONAL/GRAMMAR",NA,"SINGLE",0,"IT`S DIFFICULT TO TELL",NA,"YES",600,85
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",900,72
"FEMALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000,66
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",111,74
"MALE","35-44","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500,95
"MALE","35-44","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","SINGLE",10,"ONE CAN`T BE TOO CAREFUL","YES","NO",800,75
"MALE","25-34","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1700,70
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400,46
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300,62
"MALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800,75
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,80
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,46
"FEMALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300,80
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA,75
"FEMALE","45-59","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,90
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",2,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",2000,70
"MALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2850,85
"MALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500,81
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,76
"MALE","65+","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",900,95
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",139,100
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA,55
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",890,68
"MALE","16-24","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1300,95
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",6,"IT`S DIFFICULT TO TELL","YES","NO",1500,75
"FEMALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",5,"IT`S DIFFICULT TO TELL","YES","YES",1500,76
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",21,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",860,60
"FEMALE","60-64","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900,50
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",952,78
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",17,"ONE CAN`T BE TOO CAREFUL","YES","NO",700,73
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200,80
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800,70
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DE FACTO SEPARATED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",3500,67
"FEMALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,62
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1100,56
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO",-8,65
"FEMALE","65+","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1400,67
"FEMALE","35-44","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,52
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",16,"ONE CAN`T BE TOO CAREFUL","YES","NO",900,70
"MALE","45-59","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",2000,80
"MALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO",3200,94
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,75
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800,90
"MALE","35-44","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500,67
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500,100
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200,87
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000,65
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500,100
"FEMALE","35-44","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,58
"FEMALE","45-59","SECONDARY","UNEMPLOYED","MARRIED",7,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",NA,60
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1200,50
"MALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",1050,100
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",700,62
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700,52
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3700,84
"FEMALE","65+","SECONDARY","RETIRED","SINGLE",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1050,60
"MALE","60-64","SECONDARY","RETIRED","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1800,90
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",960,73
"FEMALE","25-34","POST-SECONDARY OR HIGHER","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",5700,50
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",750,94
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,65
"MALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",612,87
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300,62
"FEMALE","25-34","SECONDARY","UNEMPLOYED","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,55
"MALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",560,105
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",720,70
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",3000,63
"MALE","35-44","SECONDARY","UNEMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",-8,75
"FEMALE","45-59","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,72
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,62
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES",950,68
"FEMALE","16-24","SECONDARY","UNEMPLOYED","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA,59
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",650,62
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",600,80
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700,67
"MALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,83
"MALE","65+","SECONDARY","RETIRED","MARRIED",10,"IT`S DIFFICULT TO TELL","YES","YES",2300,75
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1300,95
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",2300,90
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800,67
"FEMALE","45-59","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",800,74
"MALE","65+","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",800,95
"MALE","45-59","SECONDARY","LONG-TERM SICK/DISABLED","DIVORCED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1999,80
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,103
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000,82
"MALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",380,72
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2800,79
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",6400,57
"FEMALE","35-44","SECONDARY","LONG-TERM SICK/DISABLED","SINGLE",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700,58
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,100
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",890,85
"FEMALE","45-59","PRIMARY/NO EDUCATION","RETIRED","MARRIED",14,"IT`S DIFFICULT TO TELL","YES","YES",400,82
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,60
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",900,63
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",2500,100
"FEMALE","16-24","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA,55
"MALE","45-59","PRIMARY/NO EDUCATION","FARMER","MARRIED",10,"IT`S DIFFICULT TO TELL","YES","YES",1700,72
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","DIVORCED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",-8,117
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",2500,60
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",2500,50
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",7,"IT`S DIFFICULT TO TELL","YES","YES",800,70
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DE FACTO SEPARATED",7,"IT`S DIFFICULT TO TELL","NO","NO",8000,62
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA,60
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",1300,85
"MALE","45-59","SECONDARY","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000,91
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1100,62
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","YES","YES",660,84
"MALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","NO OPINION",NA,70
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3200,60
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",3000,78
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",900,NA
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000,56
"FEMALE","45-59","SECONDARY","FARMER","DIVORCED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",-8,70
"MALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000,80
"MALE","60-64","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300,80
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA,65
"FEMALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1450,78
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600,88
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",600,80
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","SINGLE",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1200,68
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",4000,82
"MALE","60-64","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES",1380,53
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",12,NA,"YES","YES",900,56
"FEMALE","45-59","SECONDARY","FARMER","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",800,90
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA,58
